time_step,time_sec,f_t,I_Ca_pA,n_Ca_excess_fmol,S_E_perturbed,S_E_control
181,1.81,0.0762626794114456,-18.637710864454377,0.09658346304842398,0.04481032161157539,0.0
182,1.82,0.0805168482995355,-19.67738020621733,0.1019711882998255,0.04506524958232505,0.0
183,1.83,0.0740818978743413,-18.10475324926481,0.09382159532188843,0.04529980357062979,0.0
184,1.84,0.075688413112082,-18.49736686750412,0.09585617903044057,0.045539444018205866,0.0
185,1.85,0.0804227344916963,-19.65437988741924,0.10185199713644212,0.04579407401104707,0.0
186,1.86,0.0752795370931474,-18.39744232932733,0.09533835481850718,0.04603241989809337,0.0
187,1.87,0.0779811890993151,-19.05769462226958,0.0987598829987541,0.046279319605590175,0.0
188,1.8800000000000001,0.073812406492939,-18.038892693540816,0.09348029586744476,0.04651302034525884,0.0
189,1.8900000000000001,0.0756035986258207,-18.476639194620667,0.09574876506514311,0.046752392257921604,0.0
190,1.9000000000000001,0.0760293082718584,-18.580677675254865,0.09628790835495085,0.04699311202880907,0.0
191,1.9100000000000001,0.0746261796123713,-18.237769368557927,0.09451090515913317,0.04722938929170695,0.0
192,1.92,0.0731361292749371,-17.873618415865163,0.0926238193287307,0.047460948840028716,0.0
193,1.93,0.0724326581508008,-17.701698264169345,0.0917329028562437,0.04769028109716933,0.0
194,1.94,0.0750352315593786,-18.337736901507217,0.09502895217654152,0.04792785347761086,0.0
195,1.95,0.0732164646613643,-17.893251448902678,0.092725560703232,0.04815966737936905,0.0
196,1.96,0.0721610950800137,-17.635331411681946,0.09138897969467764,0.04838813982860568,0.0
197,1.97,0.0728758125575507,-17.810000041199142,0.09229413919883477,0.048618875176602905,0.0
198,1.98,0.0725118069402739,-17.721041306727713,0.0918331414558103,0.0488484580302424,0.0
199,1.99,0.0720206807750935,-17.601015790508754,0.09121115090692207,0.04907648590750979,0.0
200,2.0,0.073738473116941,-18.02082423730878,0.09338666236880748,0.049309952563431736,0.0
201,2.0100000000000002,0.0709608167422162,-17.341997361667172,0.08986887786530119,0.049534624758095,0.0
202,2.02,0.0691058972358548,-16.88867663253459,0.08751970064017511,0.0497534240096954,0.0
203,2.0300000000000002,0.0685237660706845,-16.74641055395772,0.08678245610176567,0.04997038014994981,0.0
204,2.04,0.0676855939288404,-16.541571041959326,0.08572094647851648,0.05018468251614616,0.0
205,2.05,0.0686764658457212,-16.783728600978424,0.08697584391863204,0.05040212212594264,0.0
206,2.06,0.0700492125486086,-17.119211911242353,0.08871436964938774,0.05062390805006611,0.0
207,2.07,0.0697646038234273,-17.049656852721377,0.08835392471742434,0.05084479286185972,0.0
208,2.08,0.0680198296915563,-16.623254370608862,0.0861442419578632,0.05106015346675441,0.0
209,2.09,0.0674364150241764,-16.480674619036737,0.08540537191810509,0.05127366689654966,0.0
210,2.1,0.068005997905688,-16.619874043196525,0.08612672458515067,0.05148898370801269,0.0
211,2.11,0.0684999060209086,-16.740579435612986,0.08675223835628847,0.05170586430390334,0.0
212,2.12,0.0654577090485666,-15.997101918158757,0.08289942435694023,0.05191311286479561,0.0
213,2.13,0.0673679443476327,-16.463941182945014,0.08531865669764738,0.052126409506539684,0.0
214,2.14,0.0640622837047496,-15.6560762121161,0.08113217708512256,0.05232923994925254,0.0
215,2.15,0.0625797783209036,-15.293769158228718,0.07925464661983063,0.052527376565802086,0.0
216,2.16,0.0665335937465207,-16.26003561100447,0.08426198689435906,0.05273803153303802,0.0
217,2.17,0.0646954957128643,-15.810825853935944,0.08193411335407548,0.05294286681642335,0.0
218,2.18,0.0653163534410023,-15.962556253579647,0.08272040344913534,0.053149667825046154,0.0
219,2.19,0.0629573680928509,-15.386047701931092,0.07973284812111257,0.05334899994534881,0.0
220,2.2,0.068622758213782,-16.77060308109081,0.08690782547075096,0.053566269509025655,0.0
221,2.21,0.0658224655254445,-16.086244153973876,0.08336137303194215,0.05377467294160554,0.0
222,2.22,0.0694830100180444,-16.98083860549414,0.0879972980540713,0.05399466618674076,0.0
223,2.23,0.0656493944594543,-16.04394760064238,0.08314218583532353,0.054202521651328994,0.0
224,2.24,0.0624184475122778,-15.254341787096456,0.07905032796339563,0.05440014747123734,0.0
225,2.25,0.0633085809290772,-15.471880029669746,0.08017764434715109,0.054600591582105396,0.0
226,2.2600000000000002,0.0667475478011511,-16.312323490728247,0.0845329506696805,0.05481192395877954,0.0
227,2.27,0.0645095678144364,-15.765387240458452,0.08169864352209386,0.05501617056758479,0.0
228,2.2800000000000002,0.0693695452667389,-16.95310914143046,0.08785359973794094,0.05523580456692956,0.0
229,2.29,0.0639602018276355,-15.63112858996545,0.08100289469847878,0.055438311803675866,0.0
230,2.3000000000000003,0.0671710546329993,-16.415823629223553,0.08506930418833784,0.055650985064146674,0.0
231,2.31,0.0700421492720112,-17.11748572868499,0.08870542430784573,0.0558727486249162,0.0
232,2.32,0.065757898486028,-16.070464721343054,0.08327960160306294,0.056080947628923905,0.0
233,2.33,0.0673942759822431,-16.470376327844775,0.08535200460094718,0.0562943276404263,0.0
234,2.34,0.0685301151057237,-16.747962184194712,0.08679049688653527,0.05651130388264258,0.0
235,2.35,0.0622584982219565,-15.21525204295175,0.07884775894155438,0.05670842327999648,0.0
236,2.36,0.0722756858887364,-17.663336071066844,0.09153410411497562,0.056937258540283864,0.0
237,2.37,0.0707987517681933,-17.302390569060293,0.08966362941939314,0.05716141761383231,0.0
238,2.38,0.0707604115708665,-17.293020671257352,0.08961507317851145,0.05738545529677852,0.0
239,2.39,0.0694915902562943,-16.98293551581625,0.08800816456348784,0.05760547570818719,0.0
240,2.4,0.0709358495961312,-17.335895681875247,0.08983725802909906,0.05783006885325992,0.0
241,2.41,0.0748878435816003,-18.30171699588722,0.09484229152659594,0.05806717458207633,0.0
242,2.42,0.0760828635343559,-18.59376595782508,0.0963557338333683,0.05830806391665977,0.0
243,2.43,0.067717068883527,-16.54926315439817,0.08576080817950027,0.058522465937108525,0.0
244,2.44,0.0733680533454441,-17.930297958230785,0.0929175413703207,0.05875475979053435,0.0
245,2.45,0.0709826218087554,-17.347326266036568,0.08989649306128708,0.05897950102318761,0.0
246,2.46,0.073153128175498,-17.87777274923127,0.09264534771846024,0.05921111439248383,0.0
247,2.47,0.0757397415011599,-18.509910928139732,0.09592118426770861,0.05945091735315322,0.0
248,2.48,0.073976336587553,-18.07895529990316,0.09368790640982101,0.05968513711917767,0.0
249,2.49,0.0751570601346503,-18.367510386761932,0.09518324292253683,0.05992309522648398,0.0
250,2.5,0.0746613736612265,-18.246370384307372,0.09455547693583133,0.06015948391882364,0.0
251,2.5100000000000002,0.0765669937377227,-18.71208174243604,0.09696886429204561,0.06040190607955376,0.0
252,2.52,0.0779787596977083,-19.057100904804233,0.09875680626420807,0.060648798095214174,0.0
253,2.5300000000000002,0.0737042915717941,-18.012470665676307,0.09334337288529983,0.060882156527427456,0.0
254,2.54,0.0773395829870878,-18.900893559143494,0.09794731595140951,0.06112702481730592,0.0
255,2.5500000000000003,0.0782001056867125,-19.11119528721912,0.0990371316122668,0.06137461764633667,0.0
256,2.56,0.0779161635354407,-19.041803131600204,0.09867753086801162,0.06162131147350669,0.0
257,2.57,0.0761415847169836,-18.60811673112442,0.09643010173148375,0.061862386727835506,0.0
258,2.58,0.0774324488686975,-18.92358889930163,0.09806492666892072,0.06210754904450777,0.0
259,2.59,0.0769146399870143,-18.7970424378563,0.09740914358634142,0.062351071903473554,0.0
260,2.6,0.0808589217912258,-19.760978984567643,0.1024044099319461,0.0626070829283033,0.0
261,2.61,0.079263431789223,-19.371059805567572,0.10038378921888155,0.06285804240135051,0.0
262,2.62,0.0812313445824665,-19.851994778348352,0.10287606767035473,0.06311523257052631,0.0
263,2.63,0.0808689136819187,-19.7634208863099,0.1024170642395704,0.06337127523112529,0.0
264,2.64,0.0790563256585068,-19.320445478712898,0.1001214980500228,0.06362157897625043,0.0
265,2.65,0.0834298945135896,-20.389294782145356,0.10566043831759007,0.06388573007204446,0.0
266,2.66,0.0800562671541123,-19.564819537168393,0.10138788172860233,0.06413919977636584,0.0
267,2.67,0.0812902306615391,-19.866385850418823,0.10295064440285444,0.06439657638737306,0.0
268,2.68,0.0798016272990627,-19.502588521557517,0.10106539110513302,0.06464923986513582,0.0
269,2.69,0.0822197229902953,-20.093542952788948,0.10412780718655204,0.06490955938310228,0.0
270,2.7,0.085599525202638,-20.919527259907763,0.10840818396594167,0.06518057984301717,0.0
271,2.71,0.0842064090078164,-20.57906588299242,0.10664386113381573,0.0654471894958516,0.0
272,2.72,0.0861839683015182,-21.06235834816375,0.10914835647076618,0.0657200603870286,0.0
273,2.73,0.0846629778172618,-20.690645983847023,0.10722208625095622,0.06598811560265583,0.0
274,2.74,0.0876779523146896,-21.42747064540395,0.11104042413537829,0.0662657166629943,0.0
275,2.75,0.0823392446548217,-20.122752655918624,0.10427917632750493,0.06652641460381314,0.0
276,2.7600000000000002,0.0843648873133282,-20.617796135577464,0.1068445672155126,0.06679352602185196,0.0
277,2.77,0.0890335339523716,-21.75875901359744,0.11275721103589907,0.0670754190494417,0.0
278,2.7800000000000002,0.0868418609123799,-21.22313964192015,0.1099815496808838,0.06735037292364388,0.0
279,2.79,0.0825041648178119,-20.163057223463994,0.1044880407496709,0.06761159302551811,0.0
280,2.8000000000000003,0.0842552262064229,-20.59099623791651,0.10670568605439451,0.06787835724065405,0.0
281,2.81,0.0843309686673004,-20.609506813428556,0.1068016106826375,0.0681453612673606,0.0
282,2.82,0.0853213927865099,-20.851554935910833,0.10805594100591198,0.06841550111987549,0.0
283,2.83,0.0880505495575768,-21.518529073135802,0.11151230280943049,0.06869428187689908,0.0
284,2.84,0.0849525886428326,-20.76142349745999,0.10758886613183391,0.06896325404222858,0.0
285,2.85,0.0868186498013622,-21.21746711665184,0.10995215378894044,0.0692381344267009,0.0
286,2.86,0.0845687405009432,-20.66761548101467,0.10710273866929923,0.06950589127337414,0.0
287,2.87,0.0828125254329683,-20.238416967333787,0.10487856644729122,0.06976808768949239,0.0
288,2.88,0.0842510091901213,-20.58996564823428,0.10670034538132499,0.07003483855294568,0.0
289,2.89,0.0825545788629485,-20.175377829086756,0.10455188800894831,0.07029621827296795,0.0
290,2.9,0.0887823064259388,-21.6973619313682,0.11243904198252683,0.07057731587792426,0.0
291,2.91,0.0817425830464874,-19.976935506221327,0.10352352959642085,0.07083612470191514,0.0
292,2.92,0.0854120611530528,-20.87371322897398,0.10817076866338798,0.07110655162357371,0.0
293,2.93,0.0834992824176604,-20.406252377964726,0.10574831516797807,0.07137092241149356,0.0
294,2.94,0.0781687087435351,-19.10352223988478,0.0989973687095651,0.07161841583326756,0.0
295,2.95,0.0854835234666314,-20.891177786323155,0.10826127266581931,0.07188906901493208,0.0
